contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT250919P00497500,2025-09-16 19:59:56+00:00,497.5,1.17,0.0,0.0,0.0,0.0,1450.0,1425,0.062509375,False,REGULAR,USD
MSFT250919P00500000,2025-09-16 19:59:45+00:00,500.0,1.58,0.0,0.0,0.0,0.0,4143.0,11926,0.062509375,False,REGULAR,USD
MSFT250919P00502500,2025-09-16 19:59:39+00:00,502.5,2.1,0.0,0.0,0.0,0.0,1296.0,1519,0.0312596875,False,REGULAR,USD
MSFT250919P00505000,2025-09-16 19:59:42+00:00,505.0,2.86,0.0,0.0,0.0,0.0,2187.0,4460,0.015634843750000002,False,REGULAR,USD
MSFT250919P00507500,2025-09-16 19:59:47+00:00,507.5,3.79,0.0,0.0,0.0,0.0,2502.0,1867,0.007822421875,False,REGULAR,USD
MSFT250919P00510000,2025-09-16 19:59:55+00:00,510.0,4.95,0.0,0.0,0.0,0.0,4475.0,8062,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00512500,2025-09-16 19:59:46+00:00,512.5,6.39,0.0,0.0,0.0,0.0,1858.0,1248,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00515000,2025-09-16 19:59:57+00:00,515.0,7.95,0.0,0.0,0.0,0.0,1775.0,1793,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00517500,2025-09-16 19:33:55+00:00,517.5,9.1,0.0,0.0,0.0,0.0,187.0,304,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00520000,2025-09-16 19:58:52+00:00,520.0,11.5,0.0,0.0,0.0,0.0,199.0,2453,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00522500,2025-09-16 19:38:37+00:00,522.5,13.24,0.0,0.0,0.0,0.0,70.0,111,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00525000,2025-09-16 19:13:52+00:00,525.0,14.97,0.0,0.0,0.0,0.0,27.0,683,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00527500,2025-09-16 18:02:20+00:00,527.5,16.05,0.0,0.0,0.0,0.0,4.0,7,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00530000,2025-09-16 18:56:56+00:00,530.0,19.82,0.0,0.0,0.0,0.0,61.0,159,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00532500,2025-09-16 16:14:00+00:00,532.5,19.1,0.0,0.0,0.0,0.0,102.0,99,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00535000,2025-09-16 18:53:55+00:00,535.0,24.38,0.0,0.0,0.0,0.0,31.0,153,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00537500,2025-09-08 19:55:00+00:00,537.5,40.35,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00540000,2025-09-16 14:47:14+00:00,540.0,26.75,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00542500,2025-08-28 19:54:50+00:00,542.5,31.73,0.0,0.0,0.0,0.0,470.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00545000,2025-09-16 18:00:12+00:00,545.0,32.9,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00550000,2025-09-08 16:52:59+00:00,550.0,51.54,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00555000,2025-09-04 19:56:08+00:00,555.0,47.76,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00560000,2025-09-08 14:38:34+00:00,560.0,59.5,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00565000,2025-08-22 19:32:00+00:00,565.0,58.45,0.0,0.0,0.0,0.0,32.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00570000,2025-08-21 19:27:57+00:00,570.0,63.5,0.0,0.0,0.0,0.0,587.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00575000,2025-09-02 19:50:00+00:00,575.0,70.25,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00580000,2025-09-11 19:55:00+00:00,580.0,78.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00585000,2025-08-01 14:07:51+00:00,585.0,57.3,75.0,76.85,0.0,0.0,2.0,0,0.9179695703125,True,REGULAR,USD
MSFT250919P00590000,2025-07-15 17:52:16+00:00,590.0,83.85,80.0,82.05,0.0,0.0,,0,0.6523472265625001,True,REGULAR,USD
MSFT250919P00595000,2025-07-15 17:52:16+00:00,595.0,88.85,85.15,87.05,0.0,0.0,530.0,0,0.7509790527343749,True,REGULAR,USD
MSFT250919P00600000,2025-07-14 14:35:51+00:00,600.0,98.35,90.0,92.1,0.0,0.0,,0,0.74414318359375,True,REGULAR,USD
MSFT250919P00615000,2025-07-16 15:55:11+00:00,615.0,110.2,105.1,106.95,0.0,0.0,,0,0.8105487695312499,True,REGULAR,USD
MSFT250919P00620000,2025-09-11 19:55:00+00:00,620.0,118.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
MSFT250919P00635000,2025-08-05 14:21:50+00:00,635.0,101.0,124.95,127.85,0.0,0.0,1.0,0,1.1840861108398437,True,REGULAR,USD
MSFT250919P00640000,2024-09-25 18:34:21+00:00,640.0,208.25,209.5,214.0,0.0,0.0,1.0,0,6.693361008300783,True,REGULAR,USD
MSFT250919P00650000,2025-07-16 15:55:11+00:00,650.0,145.15,140.0,142.85,0.0,0.0,4.0,0,1.2978550732421872,True,REGULAR,USD
MSFT250919P00660000,2024-07-26 19:29:09+00:00,660.0,234.4,241.35,245.25,0.0,0.0,2.0,0,7.5844731756591806,True,REGULAR,USD
MSFT250919P00680000,2025-08-11 14:00:33+00:00,680.0,155.95,169.95,171.9,0.0,0.0,2.0,0,1.6669938525390626,True,REGULAR,USD
MSFT250919P00685000,2025-08-15 19:50:00+00:00,685.0,162.85,175.05,177.35,0.0,0.0,,0,1.3974639501953123,True,REGULAR,USD
MSFT250919P00690000,2025-08-01 13:30:38+00:00,690.0,155.73,180.05,182.1,0.0,0.0,1.0,0,1.3085972070312497,True,REGULAR,USD
MSFT250919P00700000,2025-08-01 13:30:38+00:00,700.0,165.26,189.95,192.05,0.0,0.0,1.0,0,1.2265663671875,True,REGULAR,USD
